"","Year","Geography","Age at time of death","Sex","Leading causes of death (ICD-10)","Value"
"455","2016","data.Canada","data.45 to 54 years","data.Both sexes","data.Cerebrovascular diseases",5.9
"456","2016","data.Canada","data.45 to 54 years","data.Both sexes","data.Influenza and pneumonia",3.5
"457","2016","data.Canada","data.45 to 54 years","data.Both sexes","data.Chronic lower respiratory diseases",3.1
"458","2016","data.Canada","data.45 to 54 years","data.Both sexes","data.Chronic liver disease and cirrhosis",10.8
"459","2016","data.Canada","data.45 to 54 years","data.Both sexes","data.Accidents (unintentional injuries)",26
"460","2016","data.Canada","data.45 to 54 years","data.Both sexes","data.Intentional self-harm (suicide)",16.4
"461","2016","data.Canada","data.45 to 54 years","data.Males","data.Malignant neoplasms",76.9
"462","2016","data.Canada","data.45 to 54 years","data.Males","data.Diabetes mellitus",8.4
"463","2016","data.Canada","data.45 to 54 years","data.Males","data.Alzheimer's disease",0.1
"464","2016","data.Canada","data.45 to 54 years","data.Males","data.Diseases of heart",55.1
"465","2016","data.Canada","data.45 to 54 years","data.Males","data.Cerebrovascular diseases",6.1
"466","2016","data.Canada","data.45 to 54 years","data.Males","data.Influenza and pneumonia",4.1
"467","2016","data.Canada","data.45 to 54 years","data.Males","data.Chronic lower respiratory diseases",3
"468","2016","data.Canada","data.45 to 54 years","data.Males","data.Chronic liver disease and cirrhosis",13.8
"469","2016","data.Canada","data.45 to 54 years","data.Males","data.Accidents (unintentional injuries)",37.7
"470","2016","data.Canada","data.45 to 54 years","data.Males","data.Intentional self-harm (suicide)",24
"471","2016","data.Canada","data.45 to 54 years","data.Females","data.Malignant neoplasms",93.9
"472","2016","data.Canada","data.45 to 54 years","data.Females","data.Diabetes mellitus",4
"473","2016","data.Canada","data.45 to 54 years","data.Females","data.Alzheimer's disease",0.3
"474","2016","data.Canada","data.45 to 54 years","data.Females","data.Diseases of heart",17.7
"475","2016","data.Canada","data.45 to 54 years","data.Females","data.Cerebrovascular diseases",5.7
"476","2016","data.Canada","data.45 to 54 years","data.Females","data.Influenza and pneumonia",3
"477","2016","data.Canada","data.45 to 54 years","data.Females","data.Chronic lower respiratory diseases",3.2
"478","2016","data.Canada","data.45 to 54 years","data.Females","data.Chronic liver disease and cirrhosis",7.8
"479","2016","data.Canada","data.45 to 54 years","data.Females","data.Accidents (unintentional injuries)",14.2
"480","2016","data.Canada","data.45 to 54 years","data.Females","data.Intentional self-harm (suicide)",8.8
"481","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Malignant neoplasms",262.5
"482","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Diabetes mellitus",15.7
"483","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Alzheimer's disease",1.3
"484","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Diseases of heart",99.8
"485","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Cerebrovascular diseases",16.7
"486","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Influenza and pneumonia",8.3
"487","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Chronic lower respiratory diseases",19.3
"488","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Chronic liver disease and cirrhosis",19.5
"489","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Accidents (unintentional injuries)",25.7
"490","2016","data.Canada","data.55 to 64 years","data.Both sexes","data.Intentional self-harm (suicide)",14.5
"491","2016","data.Canada","data.55 to 64 years","data.Males","data.Malignant neoplasms",278.3
"492","2016","data.Canada","data.55 to 64 years","data.Males","data.Diabetes mellitus",20.6
"493","2016","data.Canada","data.55 to 64 years","data.Males","data.Alzheimer's disease",0.9
"494","2016","data.Canada","data.55 to 64 years","data.Males","data.Diseases of heart",150.3
"495","2016","data.Canada","data.55 to 64 years","data.Males","data.Cerebrovascular diseases",20.4
"496","2016","data.Canada","data.55 to 64 years","data.Males","data.Influenza and pneumonia",10.1
"497","2016","data.Canada","data.55 to 64 years","data.Males","data.Chronic lower respiratory diseases",21.6
"498","2016","data.Canada","data.55 to 64 years","data.Males","data.Chronic liver disease and cirrhosis",26.8
"499","2016","data.Canada","data.55 to 64 years","data.Males","data.Accidents (unintentional injuries)",37.1
"500","2016","data.Canada","data.55 to 64 years","data.Males","data.Intentional self-harm (suicide)",21.9
"501","2016","data.Canada","data.55 to 64 years","data.Females","data.Malignant neoplasms",247
"502","2016","data.Canada","data.55 to 64 years","data.Females","data.Diabetes mellitus",10.8
"503","2016","data.Canada","data.55 to 64 years","data.Females","data.Alzheimer's disease",1.6
"504","2016","data.Canada","data.55 to 64 years","data.Females","data.Diseases of heart",49.9
"505","2016","data.Canada","data.55 to 64 years","data.Females","data.Cerebrovascular diseases",13
"506","2016","data.Canada","data.55 to 64 years","data.Females","data.Influenza and pneumonia",6.6
"507","2016","data.Canada","data.55 to 64 years","data.Females","data.Chronic lower respiratory diseases",17.1
"508","2016","data.Canada","data.55 to 64 years","data.Females","data.Chronic liver disease and cirrhosis",12.4
"509","2016","data.Canada","data.55 to 64 years","data.Females","data.Accidents (unintentional injuries)",14.6
"510","2016","data.Canada","data.55 to 64 years","data.Females","data.Intentional self-harm (suicide)",7.1
"511","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Malignant neoplasms",622.5
"512","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Diabetes mellitus",42.9
"513","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Alzheimer's disease",11.1
"514","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Diseases of heart",240.4
"515","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Cerebrovascular diseases",51.4
"516","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Influenza and pneumonia",19.6
"517","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Chronic lower respiratory diseases",77.1
"518","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Chronic liver disease and cirrhosis",28.1
"519","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Accidents (unintentional injuries)",33.6
"520","2016","data.Canada","data.65 to 74 years","data.Both sexes","data.Intentional self-harm (suicide)",10.2
"521","2016","data.Canada","data.65 to 74 years","data.Males","data.Malignant neoplasms",707.9
"522","2016","data.Canada","data.65 to 74 years","data.Males","data.Diabetes mellitus",56.6
"523","2016","data.Canada","data.65 to 74 years","data.Males","data.Alzheimer's disease",10.1
"524","2016","data.Canada","data.65 to 74 years","data.Males","data.Diseases of heart",334.3
"525","2016","data.Canada","data.65 to 74 years","data.Males","data.Cerebrovascular diseases",60.8
"526","2016","data.Canada","data.65 to 74 years","data.Males","data.Influenza and pneumonia",24.2
"527","2016","data.Canada","data.65 to 74 years","data.Males","data.Chronic lower respiratory diseases",85.5
"528","2016","data.Canada","data.65 to 74 years","data.Males","data.Chronic liver disease and cirrhosis",40.3
"529","2016","data.Canada","data.65 to 74 years","data.Males","data.Accidents (unintentional injuries)",43.9
"530","2016","data.Canada","data.65 to 74 years","data.Males","data.Intentional self-harm (suicide)",15.7
"531","2016","data.Canada","data.65 to 74 years","data.Females","data.Malignant neoplasms",542.5
"532","2016","data.Canada","data.65 to 74 years","data.Females","data.Diabetes mellitus",30.2
"533","2016","data.Canada","data.65 to 74 years","data.Females","data.Alzheimer's disease",12
"534","2016","data.Canada","data.65 to 74 years","data.Females","data.Diseases of heart",152.5
"535","2016","data.Canada","data.65 to 74 years","data.Females","data.Cerebrovascular diseases",42.6
"536","2016","data.Canada","data.65 to 74 years","data.Females","data.Influenza and pneumonia",15.3
"537","2016","data.Canada","data.65 to 74 years","data.Females","data.Chronic lower respiratory diseases",69.2
"538","2016","data.Canada","data.65 to 74 years","data.Females","data.Chronic liver disease and cirrhosis",16.7
"539","2016","data.Canada","data.65 to 74 years","data.Females","data.Accidents (unintentional injuries)",23.9
"540","2016","data.Canada","data.65 to 74 years","data.Females","data.Intentional self-harm (suicide)",5.1
"541","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Malignant neoplasms",1253.4
"542","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Diabetes mellitus",108.9
"543","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Alzheimer's disease",92.5
"544","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Diseases of heart",724.4
"545","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Cerebrovascular diseases",205.9
"546","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Influenza and pneumonia",75.1
"547","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Chronic lower respiratory diseases",230.1
"548","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Chronic liver disease and cirrhosis",29.2
"549","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Accidents (unintentional injuries)",104.5
"550","2016","data.Canada","data.75 to 84 years","data.Both sexes","data.Intentional self-harm (suicide)",11.5
"551","2016","data.Canada","data.75 to 84 years","data.Males","data.Malignant neoplasms",1541.5
"552","2016","data.Canada","data.75 to 84 years","data.Males","data.Diabetes mellitus",133.3
"553","2016","data.Canada","data.75 to 84 years","data.Males","data.Alzheimer's disease",84.7
"554","2016","data.Canada","data.75 to 84 years","data.Males","data.Diseases of heart",933.2
"555","2016","data.Canada","data.75 to 84 years","data.Males","data.Cerebrovascular diseases",220.9
"556","2016","data.Canada","data.75 to 84 years","data.Males","data.Influenza and pneumonia",88.8
"557","2016","data.Canada","data.75 to 84 years","data.Males","data.Chronic lower respiratory diseases",259.7
"558","2016","data.Canada","data.75 to 84 years","data.Males","data.Chronic liver disease and cirrhosis",38.9
"559","2016","data.Canada","data.75 to 84 years","data.Males","data.Accidents (unintentional injuries)",128.3
"560","2016","data.Canada","data.75 to 84 years","data.Males","data.Intentional self-harm (suicide)",20.4
"561","2016","data.Canada","data.75 to 84 years","data.Females","data.Malignant neoplasms",1020.6
"562","2016","data.Canada","data.75 to 84 years","data.Females","data.Diabetes mellitus",89.2
"563","2016","data.Canada","data.75 to 84 years","data.Females","data.Alzheimer's disease",98.8
"564","2016","data.Canada","data.75 to 84 years","data.Females","data.Diseases of heart",555.7
"565","2016","data.Canada","data.75 to 84 years","data.Females","data.Cerebrovascular diseases",193.8
"566","2016","data.Canada","data.75 to 84 years","data.Females","data.Influenza and pneumonia",64.1
"567","2016","data.Canada","data.75 to 84 years","data.Females","data.Chronic lower respiratory diseases",206.1
"568","2016","data.Canada","data.75 to 84 years","data.Females","data.Chronic liver disease and cirrhosis",21.3
"569","2016","data.Canada","data.75 to 84 years","data.Females","data.Accidents (unintentional injuries)",85.3
"570","2016","data.Canada","data.75 to 84 years","data.Females","data.Intentional self-harm (suicide)",4.3
"571","2016","data.Canada","data.85 and over","data.Both sexes","data.Malignant neoplasms",2066.4
"572","2016","data.Canada","data.85 and over","data.Both sexes","data.Diabetes mellitus",278
"573","2016","data.Canada","data.85 and over","data.Both sexes","data.Alzheimer's disease",561.7
"574","2016","data.Canada","data.85 and over","data.Both sexes","data.Diseases of heart",2892
"575","2016","data.Canada","data.85 and over","data.Both sexes","data.Cerebrovascular diseases",869.1
"576","2016","data.Canada","data.85 and over","data.Both sexes","data.Influenza and pneumonia",442.8
"577","2016","data.Canada","data.85 and over","data.Both sexes","data.Chronic lower respiratory diseases",557.8
"578","2016","data.Canada","data.85 and over","data.Both sexes","data.Chronic liver disease and cirrhosis",25.1
"579","2016","data.Canada","data.85 and over","data.Both sexes","data.Accidents (unintentional injuries)",474.3
"580","2016","data.Canada","data.85 and over","data.Both sexes","data.Intentional self-harm (suicide)",10.2
"581","2016","data.Canada","data.85 and over","data.Males","data.Malignant neoplasms",2856.5
"582","2016","data.Canada","data.85 and over","data.Males","data.Diabetes mellitus",320
"583","2016","data.Canada","data.85 and over","data.Males","data.Alzheimer's disease",441.6
"584","2016","data.Canada","data.85 and over","data.Males","data.Diseases of heart",3262.6
"585","2016","data.Canada","data.85 and over","data.Males","data.Cerebrovascular diseases",795
"586","2016","data.Canada","data.85 and over","data.Males","data.Influenza and pneumonia",518.5
"587","2016","data.Canada","data.85 and over","data.Males","data.Chronic lower respiratory diseases",750.3
"588","2016","data.Canada","data.85 and over","data.Males","data.Chronic liver disease and cirrhosis",39.5
"589","2016","data.Canada","data.85 and over","data.Males","data.Accidents (unintentional injuries)",510.1
"590","2016","data.Canada","data.85 and over","data.Males","data.Intentional self-harm (suicide)",22
"591","2016","data.Canada","data.85 and over","data.Females","data.Malignant neoplasms",1645.3
"592","2016","data.Canada","data.85 and over","data.Females","data.Diabetes mellitus",255.6
"593","2016","data.Canada","data.85 and over","data.Females","data.Alzheimer's disease",625.7
"594","2016","data.Canada","data.85 and over","data.Females","data.Diseases of heart",2694.4
"595","2016","data.Canada","data.85 and over","data.Females","data.Cerebrovascular diseases",908.6
"596","2016","data.Canada","data.85 and over","data.Females","data.Influenza and pneumonia",402.5
"597","2016","data.Canada","data.85 and over","data.Females","data.Chronic lower respiratory diseases",455.2
"598","2016","data.Canada","data.85 and over","data.Females","data.Chronic liver disease and cirrhosis",17.4
"599","2016","data.Canada","data.85 and over","data.Females","data.Accidents (unintentional injuries)",455.2
"600","2016","data.Canada","data.85 and over","data.Females","data.Intentional self-harm (suicide)",3.9
"601","2017","data.Canada","data.All ages","data.Both sexes","data.Malignant neoplasms",219.2
"602","2017","data.Canada","data.All ages","data.Both sexes","data.Diabetes mellitus",19
"603","2017","data.Canada","data.All ages","data.Both sexes","data.Alzheimer's disease",18.3
"604","2017","data.Canada","data.All ages","data.Both sexes","data.Diseases of heart",146.5
"605","2017","data.Canada","data.All ages","data.Both sexes","data.Cerebrovascular diseases",38.2
"606","2017","data.Canada","data.All ages","data.Both sexes","data.Influenza and pneumonia",20.4
"607","2017","data.Canada","data.All ages","data.Both sexes","data.Chronic lower respiratory diseases",35.3
"608","2017","data.Canada","data.All ages","data.Both sexes","data.Chronic liver disease and cirrhosis",9.5
"609","2017","data.Canada","data.All ages","data.Both sexes","data.Accidents (unintentional injuries)",41.2
"610","2017","data.Canada","data.All ages","data.Both sexes","data.Intentional self-harm (suicide)",12.2
"611","2017","data.Canada","data.All ages","data.Males","data.Malignant neoplasms",233.3
"612","2017","data.Canada","data.All ages","data.Males","data.Diabetes mellitus",21.6
"613","2017","data.Canada","data.All ages","data.Males","data.Alzheimer's disease",11.9
"614","2017","data.Canada","data.All ages","data.Males","data.Diseases of heart",159.6
"615","2017","data.Canada","data.All ages","data.Males","data.Cerebrovascular diseases",33.3
"616","2017","data.Canada","data.All ages","data.Males","data.Influenza and pneumonia",18.4
"617","2017","data.Canada","data.All ages","data.Males","data.Chronic lower respiratory diseases",34.8
"618","2017","data.Canada","data.All ages","data.Males","data.Chronic liver disease and cirrhosis",12.2
"619","2017","data.Canada","data.All ages","data.Males","data.Accidents (unintentional injuries)",51.1
"620","2017","data.Canada","data.All ages","data.Males","data.Intentional self-harm (suicide)",18.4
"621","2017","data.Canada","data.All ages","data.Females","data.Malignant neoplasms",205.3
"622","2017","data.Canada","data.All ages","data.Females","data.Diabetes mellitus",16.4
"623","2017","data.Canada","data.All ages","data.Females","data.Alzheimer's disease",24.6
"624","2017","data.Canada","data.All ages","data.Females","data.Diseases of heart",133.6
"625","2017","data.Canada","data.All ages","data.Females","data.Cerebrovascular diseases",42.9
"626","2017","data.Canada","data.All ages","data.Females","data.Influenza and pneumonia",22.3
"627","2017","data.Canada","data.All ages","data.Females","data.Chronic lower respiratory diseases",35.8
"628","2017","data.Canada","data.All ages","data.Females","data.Chronic liver disease and cirrhosis",6.8
"629","2017","data.Canada","data.All ages","data.Females","data.Accidents (unintentional injuries)",31.4
"630","2017","data.Canada","data.All ages","data.Females","data.Intentional self-harm (suicide)",6.2
"631","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Malignant neoplasms",1.9
"632","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Diabetes mellitus",0
"633","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Alzheimer's disease",0
"634","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Diseases of heart",0.4
"635","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Cerebrovascular diseases",0.1
"636","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Influenza and pneumonia",0.4
"637","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Chronic lower respiratory diseases",0.1
"638","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Chronic liver disease and cirrhosis",0
"639","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Accidents (unintentional injuries)",2.9
"640","2017","data.Canada","data.1 to 14 years","data.Both sexes","data.Intentional self-harm (suicide)",0.7
"641","2017","data.Canada","data.1 to 14 years","data.Males","data.Malignant neoplasms",2.4
"642","2017","data.Canada","data.1 to 14 years","data.Males","data.Diabetes mellitus",0
"643","2017","data.Canada","data.1 to 14 years","data.Males","data.Alzheimer's disease",0
"644","2017","data.Canada","data.1 to 14 years","data.Males","data.Diseases of heart",0.5
"645","2017","data.Canada","data.1 to 14 years","data.Males","data.Cerebrovascular diseases",0.2
"646","2017","data.Canada","data.1 to 14 years","data.Males","data.Influenza and pneumonia",0.4
"647","2017","data.Canada","data.1 to 14 years","data.Males","data.Chronic lower respiratory diseases",0
"648","2017","data.Canada","data.1 to 14 years","data.Males","data.Chronic liver disease and cirrhosis",0
"649","2017","data.Canada","data.1 to 14 years","data.Males","data.Accidents (unintentional injuries)",3.5
"650","2017","data.Canada","data.1 to 14 years","data.Males","data.Intentional self-harm (suicide)",0.4
"651","2017","data.Canada","data.1 to 14 years","data.Females","data.Malignant neoplasms",1.4
"652","2017","data.Canada","data.1 to 14 years","data.Females","data.Diabetes mellitus",0
"653","2017","data.Canada","data.1 to 14 years","data.Females","data.Alzheimer's disease",0
"654","2017","data.Canada","data.1 to 14 years","data.Females","data.Diseases of heart",0.3
"655","2017","data.Canada","data.1 to 14 years","data.Females","data.Cerebrovascular diseases",0
"656","2017","data.Canada","data.1 to 14 years","data.Females","data.Influenza and pneumonia",0.3
"657","2017","data.Canada","data.1 to 14 years","data.Females","data.Chronic lower respiratory diseases",0.1
"658","2017","data.Canada","data.1 to 14 years","data.Females","data.Chronic liver disease and cirrhosis",0
"659","2017","data.Canada","data.1 to 14 years","data.Females","data.Accidents (unintentional injuries)",2.2
"660","2017","data.Canada","data.1 to 14 years","data.Females","data.Intentional self-harm (suicide)",1
"661","2017","data.Canada","data.15 to 24","data.Both sexes","data.Malignant neoplasms",3.2
"662","2017","data.Canada","data.15 to 24","data.Both sexes","data.Diabetes mellitus",0.3
"663","2017","data.Canada","data.15 to 24","data.Both sexes","data.Alzheimer's disease",0
"664","2017","data.Canada","data.15 to 24","data.Both sexes","data.Diseases of heart",1.2
"665","2017","data.Canada","data.15 to 24","data.Both sexes","data.Cerebrovascular diseases",0.3
"666","2017","data.Canada","data.15 to 24","data.Both sexes","data.Influenza and pneumonia",0.2
"667","2017","data.Canada","data.15 to 24","data.Both sexes","data.Chronic lower respiratory diseases",0.3
"668","2017","data.Canada","data.15 to 24","data.Both sexes","data.Chronic liver disease and cirrhosis",0.1
"669","2017","data.Canada","data.15 to 24","data.Both sexes","data.Accidents (unintentional injuries)",19.8
"670","2017","data.Canada","data.15 to 24","data.Both sexes","data.Intentional self-harm (suicide)",12.8
"671","2017","data.Canada","data.15 to 24","data.Males","data.Malignant neoplasms",4
"672","2017","data.Canada","data.15 to 24","data.Males","data.Diabetes mellitus",0.3
"673","2017","data.Canada","data.15 to 24","data.Males","data.Alzheimer's disease",0
"674","2017","data.Canada","data.15 to 24","data.Males","data.Diseases of heart",1.6
"675","2017","data.Canada","data.15 to 24","data.Males","data.Cerebrovascular diseases",0.3
"676","2017","data.Canada","data.15 to 24","data.Males","data.Influenza and pneumonia",0.2
"677","2017","data.Canada","data.15 to 24","data.Males","data.Chronic lower respiratory diseases",0.2
"678","2017","data.Canada","data.15 to 24","data.Males","data.Chronic liver disease and cirrhosis",0
"679","2017","data.Canada","data.15 to 24","data.Males","data.Accidents (unintentional injuries)",27.9
"680","2017","data.Canada","data.15 to 24","data.Males","data.Intentional self-harm (suicide)",17.3
"681","2017","data.Canada","data.15 to 24","data.Females","data.Malignant neoplasms",2.4
"682","2017","data.Canada","data.15 to 24","data.Females","data.Diabetes mellitus",0.4
"683","2017","data.Canada","data.15 to 24","data.Females","data.Alzheimer's disease",0
"684","2017","data.Canada","data.15 to 24","data.Females","data.Diseases of heart",0.7
"685","2017","data.Canada","data.15 to 24","data.Females","data.Cerebrovascular diseases",0.2
"686","2017","data.Canada","data.15 to 24","data.Females","data.Influenza and pneumonia",0.2
"687","2017","data.Canada","data.15 to 24","data.Females","data.Chronic lower respiratory diseases",0.3
"688","2017","data.Canada","data.15 to 24","data.Females","data.Chronic liver disease and cirrhosis",0.2
"689","2017","data.Canada","data.15 to 24","data.Females","data.Accidents (unintentional injuries)",11
"690","2017","data.Canada","data.15 to 24","data.Females","data.Intentional self-harm (suicide)",7.9
"691","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Malignant neoplasms",7.3
"692","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Diabetes mellitus",1
"693","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Alzheimer's disease",0
"694","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Diseases of heart",3.4
"695","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Cerebrovascular diseases",0.6
"696","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Influenza and pneumonia",0.5
"697","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Chronic lower respiratory diseases",0.2
"698","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Chronic liver disease and cirrhosis",1.1
"699","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Accidents (unintentional injuries)",34.2
"700","2017","data.Canada","data.25 to 34 years","data.Both sexes","data.Intentional self-harm (suicide)",14.3
"701","2017","data.Canada","data.25 to 34 years","data.Males","data.Malignant neoplasms",7.4
"702","2017","data.Canada","data.25 to 34 years","data.Males","data.Diabetes mellitus",1.1
"703","2017","data.Canada","data.25 to 34 years","data.Males","data.Alzheimer's disease",0
"704","2017","data.Canada","data.25 to 34 years","data.Males","data.Diseases of heart",4.3
"705","2017","data.Canada","data.25 to 34 years","data.Males","data.Cerebrovascular diseases",0.7
"706","2017","data.Canada","data.25 to 34 years","data.Males","data.Influenza and pneumonia",0.5
"707","2017","data.Canada","data.25 to 34 years","data.Males","data.Chronic lower respiratory diseases",0.2
"708","2017","data.Canada","data.25 to 34 years","data.Males","data.Chronic liver disease and cirrhosis",1.1
"709","2017","data.Canada","data.25 to 34 years","data.Males","data.Accidents (unintentional injuries)",53.2
"710","2017","data.Canada","data.25 to 34 years","data.Males","data.Intentional self-harm (suicide)",21.5
"711","2017","data.Canada","data.25 to 34 years","data.Females","data.Malignant neoplasms",7.3
"712","2017","data.Canada","data.25 to 34 years","data.Females","data.Diabetes mellitus",0.9
"713","2017","data.Canada","data.25 to 34 years","data.Females","data.Alzheimer's disease",0
"714","2017","data.Canada","data.25 to 34 years","data.Females","data.Diseases of heart",2.6
"715","2017","data.Canada","data.25 to 34 years","data.Females","data.Cerebrovascular diseases",0.6
"716","2017","data.Canada","data.25 to 34 years","data.Females","data.Influenza and pneumonia",0.4
"717","2017","data.Canada","data.25 to 34 years","data.Females","data.Chronic lower respiratory diseases",0.3
"718","2017","data.Canada","data.25 to 34 years","data.Females","data.Chronic liver disease and cirrhosis",1.1
"719","2017","data.Canada","data.25 to 34 years","data.Females","data.Accidents (unintentional injuries)",14.5
"720","2017","data.Canada","data.25 to 34 years","data.Females","data.Intentional self-harm (suicide)",6.8
"721","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Malignant neoplasms",23.3
"722","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Diabetes mellitus",2.1
"723","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Alzheimer's disease",0
"724","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Diseases of heart",10.1
"725","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Cerebrovascular diseases",2.1
"726","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Influenza and pneumonia",0.9
"727","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Chronic lower respiratory diseases",0.4
"728","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Chronic liver disease and cirrhosis",3.5
"729","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Accidents (unintentional injuries)",32
"730","2017","data.Canada","data.35 to 44 years","data.Both sexes","data.Intentional self-harm (suicide)",14.4
"731","2017","data.Canada","data.35 to 44 years","data.Males","data.Malignant neoplasms",19.7
"732","2017","data.Canada","data.35 to 44 years","data.Males","data.Diabetes mellitus",2.7
"733","2017","data.Canada","data.35 to 44 years","data.Males","data.Alzheimer's disease",0
"734","2017","data.Canada","data.35 to 44 years","data.Males","data.Diseases of heart",15
"735","2017","data.Canada","data.35 to 44 years","data.Males","data.Cerebrovascular diseases",2.5
"736","2017","data.Canada","data.35 to 44 years","data.Males","data.Influenza and pneumonia",1
"737","2017","data.Canada","data.35 to 44 years","data.Males","data.Chronic lower respiratory diseases",0.4
"738","2017","data.Canada","data.35 to 44 years","data.Males","data.Chronic liver disease and cirrhosis",3.9
"739","2017","data.Canada","data.35 to 44 years","data.Males","data.Accidents (unintentional injuries)",50.1
"740","2017","data.Canada","data.35 to 44 years","data.Males","data.Intentional self-harm (suicide)",22.3
"741","2017","data.Canada","data.35 to 44 years","data.Females","data.Malignant neoplasms",26.9
"742","2017","data.Canada","data.35 to 44 years","data.Females","data.Diabetes mellitus",1.4
"743","2017","data.Canada","data.35 to 44 years","data.Females","data.Alzheimer's disease",0
"744","2017","data.Canada","data.35 to 44 years","data.Females","data.Diseases of heart",5.2
"745","2017","data.Canada","data.35 to 44 years","data.Females","data.Cerebrovascular diseases",1.6
"746","2017","data.Canada","data.35 to 44 years","data.Females","data.Influenza and pneumonia",0.8
"747","2017","data.Canada","data.35 to 44 years","data.Females","data.Chronic lower respiratory diseases",0.3
"748","2017","data.Canada","data.35 to 44 years","data.Females","data.Chronic liver disease and cirrhosis",3.2
"749","2017","data.Canada","data.35 to 44 years","data.Females","data.Accidents (unintentional injuries)",14.3
"750","2017","data.Canada","data.35 to 44 years","data.Females","data.Intentional self-harm (suicide)",6.7
"751","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Malignant neoplasms",84.4
"752","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Diabetes mellitus",6.4
"753","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Alzheimer's disease",0.1
"754","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Diseases of heart",35.2
"755","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Cerebrovascular diseases",6.4
"756","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Influenza and pneumonia",2.9
"757","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Chronic lower respiratory diseases",3.8
"758","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Chronic liver disease and cirrhosis",9.4
"759","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Accidents (unintentional injuries)",34.4
"760","2017","data.Canada","data.45 to 54 years","data.Both sexes","data.Intentional self-harm (suicide)",18
"761","2017","data.Canada","data.45 to 54 years","data.Males","data.Malignant neoplasms",80.2
"762","2017","data.Canada","data.45 to 54 years","data.Males","data.Diabetes mellitus",8.3
"763","2017","data.Canada","data.45 to 54 years","data.Males","data.Alzheimer's disease",0.1
"764","2017","data.Canada","data.45 to 54 years","data.Males","data.Diseases of heart",54.3
"765","2017","data.Canada","data.45 to 54 years","data.Males","data.Cerebrovascular diseases",7.3
